                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.379,                0.79759,                 1.2998,                0.74043,                0.76096,                0.79056,                0.41795,                 1.4535,                0.90352,                 1.5716,               0.000911,               0.000911,               0.000911
                     36,                  1.369,                0.81586,                  1.324,                0.77402,                0.69841,                0.76196,                0.39269,                 1.5225,                0.89702,                 1.6225,               0.000878,               0.000878,               0.000878
                     37,                 1.3607,                0.76991,                 1.2801,                0.74656,                0.75286,                0.78335,                0.41857,                 1.4405,                0.88186,                 1.5769,               0.000845,               0.000845,               0.000845
                     38,                 1.3602,                0.79426,                  1.316,                0.74109,                0.76358,                0.80731,                0.42394,                 1.3662,                0.84755,                 1.5371,               0.000812,               0.000812,               0.000812
                     39,                 1.4001,                0.83988,                 1.3328,                0.76779,                0.76955,                0.79794,                0.42628,                 1.4397,                0.82658,                 1.5535,               0.000779,               0.000779,               0.000779
                     40,                 1.3097,                0.75521,                 1.2783,                0.79421,                0.74921,                0.80562,                0.42813,                 1.3957,                0.77483,                 1.5365,               0.000746,               0.000746,               0.000746
                     41,                 1.2804,                0.72209,                 1.2973,                0.76791,                0.78492,                0.80648,                0.43715,                 1.4092,                0.76474,                 1.5277,               0.000713,               0.000713,               0.000713
                     42,                 1.3379,                0.77747,                 1.2868,                 0.7792,                0.77374,                0.81833,                0.44345,                 1.4339,                0.78842,                 1.5525,                0.00068,                0.00068,                0.00068
                     43,                 1.2394,                0.71327,                 1.2718,                0.76103,                0.78911,                0.82397,                0.44754,                 1.4221,                0.77665,                 1.5719,               0.000647,               0.000647,               0.000647
                     44,                 1.2952,                0.73734,                 1.2742,                0.76555,                0.76397,                0.78662,                0.42931,                   1.44,                0.80917,                 1.5933,               0.000614,               0.000614,               0.000614
                     45,                 1.2315,                0.69281,                 1.2498,                0.78481,                0.74876,                0.81029,                0.44942,                 1.3807,                0.74201,                 1.5474,               0.000581,               0.000581,               0.000581
                     46,                 1.2554,                0.72633,                 1.2451,                0.75701,                0.79626,                0.82648,                0.46905,                 1.3119,                0.68542,                 1.5069,               0.000548,               0.000548,               0.000548
                     47,                 1.2954,                0.70061,                 1.2123,                0.76401,                 0.7919,                0.81558,                0.45418,                 1.3282,                0.69388,                 1.5025,               0.000515,               0.000515,               0.000515
                     48,                  1.229,                0.68206,                 1.2556,                0.78709,                0.75419,                0.82192,                0.45064,                 1.3371,                0.68353,                 1.5164,               0.000482,               0.000482,               0.000482
                     49,                 1.2024,                0.67242,                 1.2138,                0.75188,                0.79146,                0.81647,                0.46019,                 1.3313,                0.70101,                 1.5101,               0.000449,               0.000449,               0.000449
                     50,                 1.2388,                0.69476,                 1.2427,                0.76696,                0.77095,                0.81703,                0.45726,                 1.3565,                0.71472,                 1.5135,               0.000416,               0.000416,               0.000416
                     51,                 1.1779,                0.65838,                 1.2775,                0.74883,                0.76615,                0.79408,                0.43256,                 1.3835,                0.76085,                 1.5558,               0.000383,               0.000383,               0.000383
                     52,                 1.1646,                0.64335,                 1.2267,                0.75675,                0.78771,                0.81875,                0.45302,                 1.3628,                0.71136,                 1.5434,                0.00035,                0.00035,                0.00035
                     53,                 1.1246,                0.61086,                 1.2197,                0.77361,                0.78746,                0.83019,                0.46308,                 1.3516,                0.67637,                 1.5076,               0.000317,               0.000317,               0.000317
                     54,                 1.1144,                0.61935,                 1.2014,                0.78844,                0.78911,                0.84237,                0.46793,                 1.3226,                0.70016,                 1.4793,               0.000284,               0.000284,               0.000284
                     55,                 1.1094,                0.74126,                 1.2379,                0.77894,                0.77235,                0.82792,                0.46293,                 1.3441,                0.67141,                 1.5121,               0.000251,               0.000251,               0.000251
                     56,                 1.1292,                0.59964,                 1.2139,                0.78076,                0.79081,                 0.8291,                0.47689,                 1.3412,                0.65432,                 1.5237,               0.000218,               0.000218,               0.000218
                     57,                  1.082,                0.58626,                 1.1784,                0.80311,                0.78911,                 0.8368,                0.47865,                 1.3551,                0.66481,                 1.5229,               0.000185,               0.000185,               0.000185
                     58,                 1.0775,                0.58429,                 1.1708,                0.79142,                 0.7905,                0.83587,                  0.481,                 1.3161,                0.66886,                  1.494,               0.000152,               0.000152,               0.000152
                     59,                 1.0773,                0.71089,                 1.2022,                 0.7825,                 0.7919,                0.83937,                0.47956,                 1.3267,                0.65632,                 1.4972,               0.000119,               0.000119,               0.000119
                     60,                 1.0324,                   0.55,                 1.1581,                0.77583,                0.78771,                0.83729,                0.47794,                   1.34,                0.65696,                 1.5251,                8.6e-05,                8.6e-05,                8.6e-05
