                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5185,                0.76736,                 1.2796,                0.78568,                0.75706,                0.82522,                0.42267,                 1.7096,                0.87047,                 1.5062,             0.00099477,             0.00099477,             0.00099477
                     36,                 1.4931,                0.76955,                 1.2778,                0.74555,                 0.7688,                0.81245,                0.42042,                 1.7286,                0.89773,                 1.5089,             0.00096431,             0.00096431,             0.00096431
                     37,                 1.4842,                0.76441,                 1.2699,                0.76633,                0.76054,                0.82095,                0.43176,                 1.7035,                0.85011,                 1.4892,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.4753,                0.76034,                 1.2841,                0.78595,                0.76967,                0.83113,                0.42755,                 1.7234,                0.86395,                 1.5017,             0.00090338,             0.00090338,             0.00090338
                     39,                 1.4722,                0.76157,                 1.2801,                0.76468,                0.76923,                0.81991,                0.42349,                 1.7355,                0.89877,                 1.5234,             0.00087292,             0.00087292,             0.00087292
                     40,                 1.4719,                 0.7449,                 1.2693,                0.78321,                0.76779,                0.83253,                0.43549,                 1.7189,                0.83289,                 1.4888,             0.00084246,             0.00084246,             0.00084246
                     41,                 1.4509,                0.72417,                 1.2437,                 0.8144,                0.75402,                  0.838,                0.43884,                 1.7267,                0.82358,                 1.4959,               0.000812,               0.000812,               0.000812
                     42,                 1.4394,                0.73624,                  1.247,                0.79488,                0.76532,                0.83988,                0.44253,                 1.6784,                0.84619,                 1.4746,             0.00078154,             0.00078154,             0.00078154
                     43,                 1.4457,                0.72455,                 1.2481,                0.78351,                0.77228,                0.83617,                 0.4445,                 1.6899,                 0.8266,                 1.4807,             0.00075108,             0.00075108,             0.00075108
                     44,                 1.4213,                0.72166,                 1.2362,                0.78989,                0.77442,                0.83421,                0.44005,                 1.7054,                0.82368,                 1.4881,             0.00072062,             0.00072062,             0.00072062
                     45,                 1.4409,                0.72939,                 1.2486,                0.77714,                0.79313,                0.83866,                0.44183,                 1.7007,                0.82258,                 1.4852,             0.00069015,             0.00069015,             0.00069015
                     46,                 1.4216,                0.72062,                 1.2374,                0.78483,                0.78705,                0.84519,                0.44325,                 1.7045,                0.82311,                 1.4916,             0.00065969,             0.00065969,             0.00065969
                     47,                 1.3924,                0.70174,                 1.2336,                0.78009,                0.78009,                 0.8377,                0.44159,                  1.704,                0.83576,                 1.4877,             0.00062923,             0.00062923,             0.00062923
                     48,                 1.4203,                0.70303,                 1.2214,                0.78825,                0.78096,                0.83415,                 0.4307,                 1.7264,                0.83108,                 1.5159,             0.00059877,             0.00059877,             0.00059877
                     49,                 1.4048,                0.69716,                  1.237,                0.78151,                0.78444,                0.83538,                0.43655,                 1.7428,                0.82237,                 1.5124,             0.00056831,             0.00056831,             0.00056831
                     50,                 1.3686,                0.68068,                 1.2126,                0.79135,                 0.7714,                0.82444,                0.43162,                 1.7275,                 0.8214,                 1.5075,             0.00053785,             0.00053785,             0.00053785
                     51,                 1.3873,                0.67881,                 1.2178,                0.77473,                0.77705,                0.83123,                 0.4341,                 1.7312,                0.81896,                 1.5121,             0.00050738,             0.00050738,             0.00050738
                     52,                 1.3485,                 0.6715,                  1.192,                0.78497,                0.78532,                 0.8323,                0.43995,                 1.7118,                0.80361,                 1.5051,             0.00047692,             0.00047692,             0.00047692
                     53,                 1.3476,                0.67683,                 1.2015,                0.78479,                0.77814,                0.82886,                0.42982,                 1.7415,                0.81824,                 1.5234,             0.00044646,             0.00044646,             0.00044646
                     54,                 1.3264,                0.66135,                 1.1856,                0.78463,                0.78847,                0.84103,                0.44289,                 1.7187,                0.81243,                 1.5047,               0.000416,               0.000416,               0.000416
                     55,                  1.321,                0.65666,                 1.1818,                 0.7977,                 0.7797,                0.84272,                0.44678,                 1.7018,                0.80593,                 1.4921,             0.00038554,             0.00038554,             0.00038554
                     56,                  1.303,                0.64236,                 1.2137,                 0.8087,                0.76923,                0.84142,                0.44437,                  1.712,                 0.8054,                 1.4931,             0.00035508,             0.00035508,             0.00035508
                     57,                 1.3008,                0.62468,                 1.1994,                0.79724,                0.77923,                0.83717,                0.44043,                 1.7259,                0.81067,                 1.5115,             0.00032462,             0.00032462,             0.00032462
                     58,                 1.2772,                0.62332,                 1.1868,                0.79946,                0.77966,                0.83854,                0.44156,                 1.7205,                0.80708,                 1.5189,             0.00029415,             0.00029415,             0.00029415
                     59,                 1.2992,                0.63733,                 1.2221,                0.79534,                0.78532,                0.83953,                0.44166,                  1.711,                0.80558,                 1.5007,             0.00026369,             0.00026369,             0.00026369
                     60,                 1.2601,                0.60902,                 1.1952,                0.79785,                0.78389,                0.84219,                0.44602,                 1.7199,                0.79857,                 1.5169,             0.00023323,             0.00023323,             0.00023323
                     61,                 1.2506,                0.60576,                 1.1634,                0.79295,                0.78561,                0.84408,                0.44784,                 1.7202,                0.80678,                 1.5207,             0.00020277,             0.00020277,             0.00020277
                     62,                 1.2427,                0.60565,                 1.1912,                0.79345,                0.79636,                0.84761,                 0.4497,                 1.7145,                0.80296,                 1.5073,             0.00017231,             0.00017231,             0.00017231
                     63,                 1.2358,                0.59831,                 1.1604,                0.79839,                0.78879,                0.84685,                0.44989,                 1.7141,                0.80785,                 1.5142,             0.00014185,             0.00014185,             0.00014185
                     64,                 1.1988,                0.57794,                 1.1535,                0.79186,                 0.7953,                0.84534,                0.44764,                 1.7189,                0.80206,                 1.5278,             0.00011138,             0.00011138,             0.00011138
                     65,                 1.1816,                0.58037,                 1.1497,                0.79729,                0.78705,                0.84686,                0.44582,                 1.7183,                0.79843,                 1.5258,             8.0923e-05,             8.0923e-05,             8.0923e-05
